filename	mark	label	off0	off1	span
PMC5967734	T1	Application_Mention	53	57	SPSS
PMC5967744	T1	Application_Mention	230	235	Stata
PMC5967744	T2	Application_Mention	306	311	Stata
PMC5967750	T1	Application_Mention	4	19	SPSS Statistics
PMC5969737	T1	Application_Mention	12	51	Statistical Package for Social Sciences
PMC5969737	T2	Application_Mention	57	61	SPSS
PMC5978990	T1	Application_Mention	34	39	STATA
PMC5979022	T1	Application_Mention	37	42	STATA
PMC5991380	T1	Application_Mention	139	146	Clustal
PMC5991380	T2	Application_Mention	68	73	BLAST
PMC5991380	T4	Application_Mention	147	152	Omega
PMC6005473	T1	Application_Mention	38	53	SPSS Statistics
PMC6010219	T1	Application_Mention	160	165	Excel
PMC6010219	T2	Application_Mention	487	491	SPSS
PMC6013160	T1	Application_Mention	33	37	SPSS
PMC6013160	T3	Application_Mention	51	55	SPSS
PMC6013225	T1	Application_Mention	42	47	Stata
PMC6019675	T1	Application_Mention	45	49	SPSS
PMC6023132	T1	Application_Mention	25	30	STATA
PMC6023202	T1	Application_Mention	24	28	SPSS
PMC6028088	T1	Application_Mention	56	61	STATA
PMC6034783	T1	Application_Mention	30	34	SPSS
PMC6034840	T1	Application_Mention	45	48	SAS
PMC6042753	T1	Application_Mention	29	44	SPSS Statistics
PMC6047798	T1	Application_Mention	276	279	SAS
PMC6047798	T2	Application_Mention	375	378	SAS
PMC6047802	T1	Application_Mention	35	50	SPSS Statistics
PMC6049919	T1	Application_Mention	46	50	SPSS
PMC6051569	T1	Application_Mention	53	56	SAS
PMC6051569	T3	Application_Mention	57	75	University Edition
PMC6053250	T2	Application_Mention	31	36	Stata
PMC6059491	T1	Application_Mention	50	65	SPSS Statistics
PMC6061992	T1	Application_Mention	39	43	SPSS
PMC6062088	T1	Application_Mention	50	58	Refworks
PMC6062088	T2	Application_Mention	91	96	Excel
PMC6070195	T2	Application_Mention	129	133	SPSS
PMC6084961	T1	Application_Mention	34	39	STATA
PMC6095578	T1	Application_Mention	63	68	Excel
PMC6108469	T1	Application_Mention	113	117	SPSS
PMC6114278	T1	Application_Mention	38	43	Stata
PMC6114920	T1	Application_Mention	181	185	SPSS
PMC6114920	T2	Application_Mention	15	20	excel
PMC6122816	T1	Application_Mention	94	98	SPSS
PMC6124705	T1	Application_Mention	196	200	SPSS
PMC6124718	T1	Application_Mention	94	98	SPSS
PMC6141062	T1	Application_Mention	28	32	SPSS
PMC6147632	T1	Application_Mention	32	36	SPSS
PMC6147632	T2	Application_Mention	69	74	Mplus
PMC6155505	T1	Application_Mention	38	43	STATA
PMC6179202	T1	Application_Mention	55	60	Stata
PMC6185862	T1	Application_Mention	23	28	excel
PMC6185862	T2	Application_Mention	74	79	excel
PMC6197659	T1	Application_Mention	94	98	SPSS
PMC6200203	T1	Application_Mention	126	134	GraphPad
PMC6200248	T1	Application_Mention	26	31	Stata
PMC6201949	T1	Application_Mention	93	97	SPSS
PMC6201949	T2	Application_Mention	210	214	SPSS
PMC6205589	T1	Application_Mention	25	29	SPSS
PMC6211737	T1	Application_Mention	0	4	SPSS
PMC6211744	T1	Application_Mention	25	29	SPSS
PMC6221271	T1	Application_Mention	72	77	STATA
PMC6221271	T2	Application_Mention	32	37	Excel
PMC6221271	T8	Application_Mention	78	80	IC
PMC6224102	T1	Application_Mention	107	113	MaxQDA
PMC6226182	T1	Application_Mention	0	4	SPSS
PMC6237348	T1	Application_Mention	58	62	SPSS
PMC6258120	T1	Application_Mention	38	43	Excel
PMC6261591	T1	Application_Mention	0	4	SPSS
PMC6267992	T1	Application_Mention	7	12	Stata
PMC6287834	T1	Application_Mention	34	39	Stata
PMC6291235	T1	Application_Mention	0	4	SPSS
PMC6298679	T1	Application_Mention	88	93	Stata
PMC6298679	T2	Application_Mention	42	50	EPI Info
PMC6312285	T1	Application_Mention	46	51	Stata
PMC6322718	T1	Application_Mention	33	37	SPSS
PMC6322718	T4	Application_Mention	42	46	PASW
PMC6326457	T1	Application_Mention	30	34	SPSS
PMC6328181	T1	Application_Mention	30	34	SPSS
PMC6328181	T4	Application_Mention	59	74	SPSS Statistics
PMC6338375	T1	Application_Mention	85	88	SAS
PMC6351025	T1	Application_Mention	41	46	Excel
PMC6354979	T1	Application_Mention	46	85	Statistical Package for Social Sciences
PMC6354979	T2	Application_Mention	87	91	SPSS
PMC6354989	T1	Application_Mention	34	43	SigmaPlot
PMC5345811	T1	Application_Mention	114	118	SPSS
PMC5345811	T2	Application_Mention	66	78	AcqKnowledge
PMC5349444	T1	Application_Mention	40	44	SPSS
PMC5351992	T1	Application_Mention	26	30	SPSS
PMC5367715	T2	Application_Mention	123	129	EEGLAB
PMC5381894	T1	Application_Mention	59	63	SPSS
PMC5383158	T1	Application_Mention	49	53	SPSS
PMC5383275	T2	Application_Mention	53	59	ArcGIS
PMC5383275	T3	Application_Mention	78	83	Stata
PMC5383275	T6	Application_Mention	84	86	SE
PMC5384787	T1	Application_Mention	12	16	SPSS
PMC5388499	T1	Application_Mention	10	14	SPSS
PMC5391050	T1	Application_Mention	34	39	Prism
PMC5407852	T1	Application_Mention	100	103	SAS
PMC5417513	T1	Application_Mention	34	37	SAS
PMC5423609	T1	Application_Mention	28	32	SPSS
PMC5451014	T1	Application_Mention	15	20	Stata
PMC5462373	T2	Application_Mention	114	125	Questionpro
PMC5462373	T3	Application_Mention	193	196	SAS
PMC5462373	T4	Application_Mention	129	133	SPSS
PMC5462428	T1	Application_Mention	41	44	SAS
PMC5507544	T1	Application_Mention	62	66	Word
PMC5507544	T2	Application_Mention	71	76	Excel
PMC5507544	T3	Application_Mention	99	104	NVivo
PMC5507544	T4	Application_Mention	52	60	MSOffice
PMC5513414	T1	Application_Mention	39	44	STATA
PMC5513423	T1	Application_Mention	135	139	SPSS
PMC5513437	T1	Application_Mention	50	55	STATA
PMC5513437	T2	Application_Mention	71	109	statistical package for social science
PMC5513437	T4	Application_Mention	111	115	SPSS
PMC5519063	T1	Application_Mention	27	32	STATA
PMC5519063	T3	Application_Mention	33	35	IC
PMC5526523	T1	Application_Mention	67	72	STATA
PMC5526526	T1	Application_Mention	130	135	Excel
PMC5526526	T2	Application_Mention	167	172	Stata
PMC5528884	T1	Application_Mention	45	48	SAS
PMC5544237	T1	Application_Mention	121	128	Tableau
PMC5544237	T2	Application_Mention	133	138	Excel
PMC5544237	T3	Application_Mention	73	80	Tableau
PMC5544237	T4	Application_Mention	140	147	Tableau
PMC5544237	T7	Application_Mention	176	181	Excel
PMC5549972	T1	Application_Mention	46	51	STATA
PMC5557550	T1	Application_Mention	57	65	EPI info
PMC5557550	T2	Application_Mention	122	126	SPSS
PMC5567909	T1	Application_Mention	47	52	Excel
PMC5568325	T1	Application_Mention	65	77	SurveyMonkey
PMC5568325	T2	Application_Mention	137	142	Excel
PMC5568373	T1	Application_Mention	0	4	SPSS
PMC5570331	T1	Application_Mention	39	57	Experiment Builder
PMC5570331	T4	Application_Mention	335	341	Matlab
PMC5573293	T1	Application_Mention	0	4	SPSS
PMC5573293	T2	Application_Mention	19	34	SPSS statistics
PMC5587279	T1	Application_Mention	33	48	SPSS Statistics
PMC5589082	T1	Application_Mention	128	132	SPSS
PMC5590823	T1	Application_Mention	92	96	SPSS
PMC5597219	T1	Application_Mention	29	34	Ctrax
PMC5604938	T1	Application_Mention	42	46	SPSS
