tokens,labels
"['The', 'raw', 'microarray', 'data', 'were', 'further', 'analyzed', 'using', 'Agilent', 'GeneSpring', 'GX', 'software', 'Version', '11.0.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'O', 'O', 'O']"
"['Processed', 'data', 'were', 'subsequently', 'filtered', 'for', 'significant', 'detection', ""(Student's"", 't-test', 'screening,', 'P,0.05)', 'and', 'differential', 'expression', 'versus', 'COPD', 'model', 'rats', '(fold', 'change,', '|log', 'ratio|', '.1).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'identification', 'results', 'were', 'obtained', 'from', 'Mascot']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention']"
"['The', 'criteria', 'used', 'for', 'protein', 'quantitation', 'were', 'as', 'follows:', 'two', 'unique', 'peptide', 'hits,', 'two', 'quantitative', 'peptides,', 'and', 'disabling', 'of', 'outlier', 'removal.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'reporter', 'ion', 'ratio', 'for', 'each', 'identified', 'peptide', 'was', 'determined', 'by', 'Mascot']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention']"
"['The', 'loess', 'and', 'global', 'median', 'normalization', 'were', 'used', 'to', 'process', 'the', 'proteomics', 'data.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Data', 'were', 'log', '2', 'transformed', 'and', 'analyzed', 'on', 'both', 'peptide', 'and', 'protein', 'level.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Statistical', 'significance', 'of', 'observed', 'fold-change', 'ratios', 'was', 'determined', 'by', 'one', 'sample', 't-test.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['P-values', ',0.05', 'were', 'considered', 'statistically', 'significant', 'for', 'proteins.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fold', 'change', 'higher', 'than', '1.0', 'is', 'for', 'upregulation', 'or', 'lower', 'than', '1.0', 'is', 'for', 'downregulation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'molecular', 'function', 'of', 'transcripts', 'and', 'proteins', 'was', 'explored', 'by', 'BiNGO', 'a', 'Cytoscape', 'v3.1.1', 'plugin.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'B-Application_Mention', 'O', 'O']"
"['15', 'Pathway', 'enrichment', 'analysis', 'of', 'transcripts', 'and', 'proteins', 'was', 'performed', 'using', 'the', 'Database', 'for', 'Annotation,', 'Visualization', 'and', 'Integrated', 'Discovery', 'and', 'Kyoto', 'Encyclopedia', 'of', 'Genes', 'and', 'Genomes', 'database.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'considered', 'regulated', 'pathways', 'only', 'as', 'statistically', 'significant,', 'if', 'the', 'P-value', 'was', '#0.05.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'applied', 'Metscape', 'to', 'analyze', 'the', 'integrated', 'pathway', 'of', 'gene,', 'protein,', 'and', 'metabolomics', 'data.']","['O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['16', 'We', 'also', 'applied', 'ClueGO', 'a', 'Cytoscape', 'plugin,', 'to', 'explore', 'the', 'molecular', 'function', 'of', 'the', 'proteins.']","['O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
