tokens,labels
"['1.', 'Design', 'oligos', 'for', 'the', 'plasmid', 'backbone', '(subcloning', 'plasmid)', 'and', 'the', 'selectable', 'marker', '(insertion', 'cassette).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Design', 'each', 'oligo', 'such', 'that', 'it', 'contains', '180', 'bp', 'HA', 'flanking', 'the', 'genomic', 'target', 'site', 'and', '20', 'bp', 'of', 'specific', 'priming', 'sequence', 'of', 'the', 'insertion', 'cassette', 'or', 'the', 'subcloning', 'plasmid', '(Figure', '2).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['NOTE:', 'Homology', 'arms', 'should', 'not', 'contain', 'any', 'repetitive', 'elements,', 'presence', 'of', 'repetitive', 'elements', 'will', 'result', 'in', 'incorrect', 'targeting', 'and', 'subcloning.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Repetitive', 'elements', 'can', 'be', 'detected', 'by', 'using', 'web', 'based', 'tools', 'such', 'as', 'the', ""''Repeat"", ""Masker''.""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['2.', 'Include', 'a', 'unique', 'restriction', 'enzyme', '(RE)', 'site', 'on', 'one', 'of', 'the', 'vector', 'oligos', 'to', 'linearize', 'the', 'gene', 'targeting', 'vector', 'for', 'ES', 'cell', 'targeting', '(Figure', '2).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['3.', 'Check', 'oligo', 'parameters', 'using', 'an', 'oligo', 'analyzer', 'program.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'O']"
"['Take', 'care', 'to', 'avoid', 'secondary', 'structures', 'in', 'the', 'priming', 'regions.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['4.', 'Shorter', 'HA', '(50', 'bp)', 'of', 'the', 'insertion', 'cassette', 'is', 'tolerated', 'and', 'yields', 'lower', 'number', 'of', 'recombinants', 'but', 'ensure', 'that', 'the', 'subcloning', 'plasmid', 'HA', 'is', 'always', 'longer', '(180', 'bp).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['5.', 'Determine', 'the', 'orientation', 'of', 'the', 'genomic', 'DNA', 'insert', 'of', 'the', 'particular', 'BAC', 'clone', 'using', 'web', 'based', 'tools', 'like', ""''cloneDB""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention']"
"['Establish', 'the', 'direction', 'of', 'replication', 'from', 'OriS', 'by', 'checking', 'the', 'map', 'of', 'the', 'BAC', 'plasmid', 'backbone', 'used', 'in', 'the', 'BAC', 'library', 'construction.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['NOTE:', 'OriS', 'is', 'usually', 'opposite', 'to', 'the', 'transcriptional', 'direction', 'of', 'the', 'Chloramphenicol', '(Chl)', 'marker', 'for', 'all', 'commonly', 'used', 'BAC', 'plasmids.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['6.', 'Add', 'two', 'terminal', 'phosphorothioate', '(PTO)', 'bonds', 'to', 'the', ""5'"", 'end', 'of', 'the', 'oligo', 'that', 'is', 'opposite', 'to', 'the', 'direction', 'of', 'replication', 'on', 'the', 'BAC', 'clone.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Add', 'a', ""5'"", 'phosphate', 'modification', 'to', 'the', 'reverse', 'oligo', '(Figure', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
