tokens,labels
"['Male', 'mice', 'with', 'global', 'glucagon', 'receptor', 'knockout', 'and', 'wild-type', 'mice', '(19)', 'were', 'provided', 'by', 'M.J.C.', 'They', 'were', 'housed', 'in', 'individual', 'cages', 'with', 'constant', 'temperature', 'and', '12', 'h', 'of', 'light', 'alternating', 'with', '12', 'h', 'of', 'darkness', 'and', 'fed', 'Teklad', '6%', 'mouse/rat', 'diet', '(Teklad,', 'Madison,', 'WI)', 'with', 'free', 'access', 'to', 'water.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'protocol', 'was', 'approved', 'by', 'the', 'Institutional', 'Animal', 'Care', 'and', 'Research', 'Advisory', 'Committee', 'of', 'the', 'University', 'of', 'Texas', 'Southwestern', 'Medical', 'Center', 'and', 'the', 'Institutional', 'Animal', 'Care', 'and', 'Use', 'Committee', 'at', 'the', 'North', 'Texas', 'Veterans', 'Administration', 'Medical', 'Center.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Chemical', 'destruction', 'of', 'b-cells.']","['O', 'O', 'O', 'O']"
"['b-cells', 'were', 'destroyed', 'in', '10-to', '12-week-old', 'Gcgr', '2/2', 'and', 'Gcgr', '+/+', 'mice', 'with', 'two', 'intravenous', 'injections', 'of', 'STZ', '(100', 'mg/kg', 'body', 'weight', 'followed', 'in', '7', 'days', 'by', '80', 'mg/kg).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Food', 'intake,', 'body', 'weight,', 'and', 'blood', 'glucose', 'were', 'measured', 'weekly', 'for', '6', 'weeks.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Plasma', 'measurements.']","['O', 'O']"
"['Blood', 'glucose', 'levels', 'were', 'measured', 'with', 'a', 'glucose', 'meter', '(Bayer', 'Healthcare,', 'Mishawka,', 'IN).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Plasma', 'glucagon', 'levels', 'were', 'measured', 'using', 'a', 'Linco', 'glucagon', 'RIA', 'kit', '(Linco', 'Research,', 'St.', 'Charles,', 'MO).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Plasma', 'insulin', 'levels', 'were', 'measured', 'using', 'a', 'rat/mouse', 'insulin', 'ELISA', 'kit', '(Crystal', 'Chem,', 'Downers', 'Grove,', 'IL),', 'and', 'IGF-1', 'levels', 'were', 'measured', 'using', 'an', 'IGF-1', 'ELISA', 'kit', '(Immunodiagnostic', 'Systems', 'Ltd.,', 'Boldon,', 'UK).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Free', 'fatty', 'acids', '(FFAs)', 'were', 'measured', 'with', 'a', 'nonesterified', 'fatty', 'acid', '(NEFA)', 'kit', '(Waco', 'Pure', 'Chemical', 'Industries,', 'Osaka,', 'Japan).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
