tokens,labels
"[""CRISPRs'"", 'in', 'silico', 'analyses', 'started', 'in', '1995', '(2)', 'but', 'no', 'specific', 'stand-alone', 'CRISPR', 'software', 'tool', 'was', 'created.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Several', 'software', 'were', 'used', 'by', 'different', 'authors', 'to', 'identify', 'these', 'particular', 'repeats', 'but', 'usually', 'a', 'manual', 'discard', 'of', 'background', 'was', 'necessary,', 'and', 'generally', 'some', 'CRISPR', 'clusters', 'were', 'missed', 'or', 'neglected,', 'especially', 'the', 'shortest', 'one', '(less', 'than', 'three', 'motifs).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'is', 'the', 'case,', 'for', 'example,', 'of', 'Tandem', 'Repeat', 'Finder', '(17)', 'when', 'considering', 'a', 'motif', '(DR', 'þ', 'spacer)', 'as', 'a', 'degenerate', 'repeat', '(10,18),', 'or', 'Locating', 'Uniform', 'poly-Nucleotide', 'Areas', '(LUNA),', 'a', 'program', 'for', 'finding', 'degenerate', 'repeats', 'in', 'microbial', 'genomes', 'on', 'a', 'desktop', 'computer.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'repeats', 'can', 'be', 'filtered', 'using', 'several', 'parameters', 'including', 'length,', 'distance', 'and', 'level', 'of', 'conservation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['LUNA', 'was', 'used', 'especially', 'for', 'finding', 'CRISPRs', 'in', 'archaea', '(4,15).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Another', 'program,', 'Patscan', '(19)', 'a', 'pattern-matching', 'tool', 'that', 'searches', 'sequences', 'fitting', 'the', 'introduced', 'pattern,', 'was', 'applied', 'toidentify', 'CRISPRs', 'containing', 'at', 'least', 'three', '(20)', 'or', 'four', 'exact', 'direct', 'repeats', '(8).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['PYGRAM', '(21)', 'is', 'a', 'visualization', 'program', 'browsing', 'all', 'the', 'repeats', 'in', 'the', 'submitted', 'genomic', 'sequence', 'and', 'showing', 'perfectly', 'conserved', 'palindromic', 'repeats', 'as', 'pyramids.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'PYGRAM', 'program', 'is', 'mostly', 'efficient', 'in', 'visually', 'displaying', 'large', 'CRISPRs', '(CRISPRs', 'with', 'as', 'many', 'as', 'seven', 'motifs', 'are', 'considered', 'as', 'being', 'very', 'short', 'in', 'this', 'work)', 'since', 'they', 'will', 'be', 'recognized', 'as', 'a', 'concentration', 'of', 'horizontal', 'bars', 'referring', 'to', 'a', 'group', 'of', 'co-occurring', 'repeats', 'that', 'differ', 'by', 'only', 'a', 'few', 'nucleotides.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Finally,', 'Haft', 'et', 'al.']","['O', 'O', 'O', 'O']"
"['(12)', 'used', 'REPfind', '(http://bibiserv.techfak.uni-bielefeld.de/reputer/),', 'a', 'part', 'of', 'the', 'REPuter', 'package', '(22-24)', 'and', 'BLASTN', 'to', 'identify', 'smaller', 'repeat', 'clusters.']","['O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O']"
