tokens,labels
"['To', 'evaluate', 'the', 'performance', 'of', 'our', 'method,', 'we', 'compared', 'FastPval', 'with', 'the', 'traditional', 'approach', '(named', 'Exact)', 'on', 'a', 'linux', 'machine', '(Intel', 'Xeon', 'CPU', 'E5410', '2.33', 'GHz;', '16', 'G', 'of', 'memory,', 'SuSE', 'linux', '10.1).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O']"
"['In', 'the', ""'Exact'"", 'approach,', 'we', 'used', 'quicksort', 'and', 'binary', 'search', 'in', 'c', 'programming.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['FastPval', 'used', 'the', 'same', 'sorting', 'and', 'searching', 'algorithms', 'for', 'M1', 'and', 'M2.']","['B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['To', 'evaluate', 'the', 'accuracy', 'of', 'FastPval', 'we', 'compared', 'the', 'calculated', 'P-values', 'with', 'the', 'original', 'P-values', 'in', 'three', 'different', 'distributions:', 'Normal,', 'Poisson', 'and', 'Gumbel.']","['O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['For', 'each', 'distribution,', 'we', 'tested', 'the', 'P-values', 'in', 'the', '−log', '10', '(P-value)', 'ranged', 'from', '0', 'to', '9', '(corresponding', 'P-value', 'range', 'from', '1', 'to', '10', '−9', ',', 'exclusively).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'took', '162', 'P-values', '(termed', 'theoretical', 'P-values)', 'evenly', 'distributed', 'in', 'each', 'of', 'the', 'nine', 'ranges', '(Supplementary', 'Table', 'S1).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'converted', 'these', 'P-values', 'into', 'scores', 'with', 'the', 'build-in', 'functions', 'in', 'the', 'R', 'platform,', 'using', 'parameters', 'for', 'each', 'distribution', 'as', 'shown', 'in', 'Supplementary', 'Table', 'S2.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Under', 'the', 'same', 'parameter', 'setting,', 'we', 'randomly', 'sampled', 'one', 'billion', 'data', 'points.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'used', 'FastPval', 'to', 'build', 'models', 'M1', 'and', 'M2', 'from', 'these', 'data.']","['O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Finally,', 'we', 'used', 'FastPval', 'to', 'convert', 'these', '162', 'scores', 'into', 'P-values', '(termed', 'FastPval', 'P-values)', 'with', 'the', 'models.']","['O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O']"
