tokens,labels
"['The', 'implementation', 'of', 'the', 'system', 'This', 'system', 'is', 'on', 'the', 'operating', 'system', 'the', 'Windows', '2003', 'Server,', 'which', 'is', 'Zeus.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O']"
"['The', 'languages', 'for', 'the', 'development', 'of', 'this', 'site', 'are', 'Java', 'Server', 'Page', 'and', 'Java', 'Script.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'does', 'not', 'make', 'use', 'of', 'ActiveX', 'and', 'only', 'uses', 'HTML', 'because', 'the', 'site', 'withActiveX', 'functions', 'can', 'be', 'in', 'operation', 'with', 'a', 'particular', 'browser.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'meal', 'plan', 'and', 'nutrition', 'evaluation', 'go', 'through', 'complicated', 'procedures', 'and', 'calculation', 'processes.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'is', 'why', 'the', 'development', 'procedures', 'are', 'important.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'site', 'is', 'based', 'on', 'MVC', 'Model2', '(Model', 'View', 'Controller', 'Pattern).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'DBMS', 'is', 'Oracle', '10', 'g.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'content', 'is', 'shown', 'in', 'Table', '1.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'contents', 'of', 'this', ""children's"", 'healthy', 'menus', 'site', 'are', 'classified', 'into', 'four', 'groups.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'first', 'is', 'introduction', 'of', 'this', 'home', 'page.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'explains', 'the', 'overall', 'introduction', 'of', 'this', 'site.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'second', 'page', 'contains', 'the', 'information', 'of', 'menus', 'for', 'infants,', 'children', 'and', 'adolescents', '(Fig.', '2).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'part', 'contains', 'all', 'information', 'which', 'users', 'want', 'to', 'get', 'by', 'a', 'search', 'function.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'third', 'part', 'provides', 'a', 'search', 'function', 'so', 'that', 'users', 'can', 'find', 'the', 'information', 'which', 'they', 'need.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'users', 'specify', 'search', 'conditions.']","['O', 'O', 'O', 'O', 'O']"
"['Types', 'of', 'the', 'conditions', 'are', 'menu', 'name,', 'raw', 'material', 'of', 'a', 'menu,', 'types', 'of', 'menus', 'such', 'as', 'main', 'dish,', 'side', 'dish', 'and', 'dessert,', 'many', 'kinds', 'of', 'ethnic', 'menu', 'such', 'as', 'Korean', 'food,', 'Chinese', 'food,', 'Japanese', 'food,', 'Western', 'style', 'food,', 'Southeast', 'Asian', 'food,', 'nineteen', 'nutrients', 'and', 'calories', 'and', 'so', 'on.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'fourth', 'part,', 'NutriEval', 'is', 'like', 'this', 'site.']","['O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O']"
"['The', 'NutriEval', 'is', 'another', 'web-based', 'program', 'for', 'meal', 'plan', 'drafting', 'and', 'nutrition', 'evaluation.']","['O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'is', 'an', 'independent', 'program', 'itself.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'will', 'be', 'discussed', 'in', 'another', 'chance.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
