tokens,labels
"['For', 'all', 'the', 'studies', 'from', 'which', 'we', 'constructed', 'the', '2', '×', '2', 'table,', 'pooled', 'sensitivity,', 'specificity,', 'PLR,', 'NLR,', 'and', 'the', 'diagnostic', 'odds', 'ratio', '(DOR)', 'were', 'calculated', 'using', 'the', 'bivariate', 'model.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[17]', 'The', 'summarized', 'receiver', 'operating', 'characteristic', '(SROC)', 'curve', 'was', 'constructed.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'diagnostic', 'test,', 'heterogeneity', 'was', 'commonly', 'caused', 'by', 'threshold', 'effect.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['When', 'threshold', 'effect', 'existed,', 'there', 'was', 'a', 'negative', 'correlation', 'between', 'sensitivity', 'and', 'specificity.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Heterogeneity', 'caused', 'by', 'the', 'threshold', 'effect', 'was', 'evaluated', 'by', ""Spearman's"", 'correlation', 'coefficient.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['If', 'there', 'were', 'more', 'than', 'one', 'threshold', 'in', 'an', 'article,', 'the', 'threshold', 'with', 'the', 'largest', 'Youden', 'index', 'was', 'chosen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'percentage', 'of', 'the', 'total', 'variation', 'across', 'studies', 'was', 'described', 'by', 'the', 'I', '2', 'statistic,', 'which', 'indicated', 'the', 'existence', 'of', 'significant', 'heterogeneity', 'when', 'the', 'value', 'exceeded', '50%.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'value', 'of', 'I', '2', 'ranges', 'from', '0', 'to', '100%,', 'with', '0', 'implying', 'no', 'observed', 'heterogeneity,', 'and', 'larger', 'values', 'indicating', 'increasing', 'heterogeneity.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[18]', 'The', 'random', 'effects', 'model', 'was', 'chosen', 'due', 'to', 'the', 'expected', 'clinical', 'and', 'statistical', 'heterogeneity', 'among', 'the', 'studies.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[17]', 'For', 'all', 'effect', 'estimates,', 'P', '<', '0.05', 'was', 'considered', 'statistically', 'significant.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['All', 'analyses', 'were', 'conducted', 'using', 'Meta-Disc', 'software', '(version', '14.0,', 'Unit', 'of', 'Clinical', 'Biostatistics', 'team,', 'Madrid,', 'Spain).']","['O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
