tokens,labels
"['After', 'the', 'intervention,', 'balance', 'measuring', 'equipment', '(Good', 'Balance,', 'Metitur,', 'Finland)', 'was', 'used', 'to', 'quantitatively', 'measure', 'each', ""subject's"", 'balance', 'ability', '5).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'balance', 'test', 'was', 'performed', 'by', 'a', 'physical', 'therapist', 'who', 'had', 'completed', 'the', 'course', 'for', 'the', 'balance', 'test', 'method', 'and', 'was', 'experienced', 'in', 'clinical', 'practice', 'for', 'over', 'three', 'years.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['To', 'measure', 'balance', 'function,', 'the', 'subject', 'was', 'instructed', 'to', 'stand', 'on', 'a', 'triangle', 'platform', 'and', 'maintain', 'a', 'symmetrical', 'posture', 'with', 'the', 'feet', 'shoulder', 'width', 'apart.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'visual', 'fixed', 'point', 'was', 'located', 'in', 'front', 'of', 'the', 'subject', 'to', 'minimize', 'head', 'movements.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', ""subject's"", 'arms', 'were', 'placed', 'comfortably', 'at', 'the', 'hip', 'joints', 'and', 'the', 'center', 'of', 'pressure', '(COP)', 'was', 'measured', 'for', '30', 'seconds', 'in', 'the', 'standing', 'posture', 'with', 'the', 'eyes', 'open.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['COP', 'was', 'measured', 'three', 'times', 'and', 'average', 'values', 'were', 'calculated.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'software', 'also', 'calculates', 'several', 'variables', 'describing', 'the', 'quantitative', 'aspects', 'of', ""individual's"", 'test', 'behaviour,', 'e.g.', 'amount', 'and', 'speed', 'of', 'anterior-posterior', 'and', 'medial-lateral', 'sway,', 'amplitude', 'of', 'sway,', 'the', 'first', 'moment', 'of', 'sway', 'velocity', '(combined', 'amplitude', 'and', 'velocity', 'of', 'the', 'movement', 'of', 'the', 'center', 'of', 'pressure),', 'power', 'spectrum', 'analysis', '(FFT', 'analysis)', 'etc.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Low', 'score', 'of', 'anterior-posterior', 'and', 'medial-lateral', 'sway', 'implies', 'excellent', 'balance', 'ability.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'index', 'of', 'balance', 'function', 'score', 'ranges', 'between', '0', 'and', '100,', 'and', 'a', 'higher', 'score', 'implies', 'greater', 'balance', 'ability', 'to', 'perform', 'the', 'task.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'reliable', 'and', 'valid', 'measurement', 'of', 'the', 'functioning', 'of', 'posture', 'control', 'mechanisms', 'is', 'a', 'prerequisite', 'for', 'discovering', 'the', 'reasons', 'for', 'balance', 'problems', 'or', 'evaluating', 'the', 'effects', 'of', 'treatment', 'and', 'rehabilitation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'mean', 'and', 'SD', 'were', 'calculated', 'for', 'each', 'variable.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Before', 'the', 'intervention,', 'differences', 'in', 'the', 'general', 'characteristics', 'of', 'the', 'experimental', 'group', 'were', 'analyzed', 'by', 'descriptive', 'statistics.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Variables', 'were', 'compared', 'before', 'and', 'after', 'training', 'within', 'experimental', 'group', 'using', 'paired', 'sample', 't-tests.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'statistical', 'analysis', 'was', 'conducted', 'using', 'SPSS', '20.0', '(SPSS,', 'Chicago,', 'IL,', 'USA),', 'and', 'statistical', 'significance', 'was', 'accepted', 'for', 'p', 'values', '<0.05']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
