tokens,labels
"['All', 'staining', 'experiments', 'were', 'performed', 'with', 'the', 'appropriate', 'positive', 'and', 'negative', 'controls.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'series', 'of', 'slides', 'containing', 'tissues', 'with', 'a', 'previously', 'established', 'positive', 'reaction', 'with', 'the', 'primary', 'antibodies', 'were', 'used', 'as', 'the', 'positive', 'control.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['To', 'account', 'for', 'nonspecific', 'staining,', 'sections', 'incubated', 'without', 'the', 'primary', 'antibody', 'were', 'used', 'as', 'the', 'negative', 'control.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Sections', 'were', 'analyzed', 'by', 'fluorescence', 'microscopy', '(Olympus', 'BX51;', 'Olympus', 'Corporation,', 'Tokyo,', 'Japan).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Colocalization', 'of', 'staining', 'was', 'visualized', 'using', 'image', 'analysis', 'software', '(Image', 'Pro', 'Plus', '5.0;', 'Media', 'Cybernetics,', 'Inc.,', 'Rockville,', 'MD,', 'USA)', 'by', 'applying', 'the', 'Boolean', 'operator', ""'AND'.""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'I-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'operator', 'combined', 'individual', 'unmixed', 'images', 'into', 'a', 'novel', 'image', 'that', 'consisted', 'solely', 'of', 'colocalized', '(double-stained)', 'pixels,', 'thus', 'representing', 'only', 'double-stained', 'cells', '(yellow).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'relative', 'intensities', 'of', 'NF,', 'S-100,', 'Syn,', 'N-Syn', 'within', 'individual', 'cells', 'were', 'determined', 'by', 'Image', 'Pro', 'Plus', 'software', 'by', 'measuring', 'the', 'integral', 'optical', 'densities', '(IOD)', 'of', '80-100', 'cells', 'that', 'were', 'sampled', 'from', 'each', 'subject', 'randomly', '(16)', 'Data', 'analysis.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'I-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['All', 'slides', 'were', 'reviewed', 'blindly', 'by', 'two', 'pathologists.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Immunopositive', 'cells', 'were', 'counted', 'on', '10', 'well-stained,', 'randomly', 'selected,', 'microscopic', 'fields', 'at', 'x40', 'magnification', '(Olympus', 'BX51)', 'for', 'each', 'region', 'of', 'interest.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Statistical', 'analysis.']","['O', 'O']"
"['All', 'data', 'are', 'expressed', 'as', 'the', 'mean', '±', 'standard', 'deviation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Kruskal-Wallis', 'test', 'by', 'ranks', 'followed', 'by', 'the', 'Mann-Whitney', 'test', 'was', 'used', 'to', 'rank', 'the', 'Syn-immunoreactivity', 'data.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['One-way', 'analysis', 'of', 'variance', 'followed', 'by', 'the', 'Student-Newman-Keuls', 'test', 'was', 'used', 'for', 'the', 'comparisons', 'of', 'NF-positive', 'neurons.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pearson', ""correlations/Spearman's"", 'rank', 'order', 'correlation', 'was', 'used', 'to', 'evaluate', 'the', 'correlations', 'between', 'the', 'neuronal', 'counts', 'and', 'Syn-immunoreactivity', 'cell', 'numbers.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Data', 'were', 'analyzed', 'with', 'SPSS', '20.0', 'software', '(IBM', 'SPSS,', 'Armonk,', 'NY,', 'USA).']","['O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['P<0.05', 'was', 'considered', 'to', 'indicate', 'a', 'statistically', 'significant', 'difference.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
