tokens,labels
"['DMEM', '2X', 'medium', 'without', 'phenol', 'red', 'was', 'prepared', 'from', 'powder', '(Wisent)', 'according', 'to', 'the', ""manufacturer's"", 'instructions.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['DMEM', '(DLD1', 'and', 'SW480)', 'and', 'McCoy5A', '(HT-29)', 'media', 'were', 'subsequently', 'supplemented', 'with', '20%', 'FCS,', '8', 'mM', 'glutamine,', '100', 'U/mL', 'penicillin,', '100', 'mg/mL', 'streptomycin', '(Invitrogen),', 'and', '40', 'mM', 'HEPES.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pre-warmed', 'media', 'were', 'mixed', '1:1', 'with', 'autoclaved', '1.4%', 'agarose', 'type', 'VII', 'maintained', 'at', '%428C,', 'and', '6-well', 'dishes', 'were', 'precoated', 'with', '1', 'mL/well.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cells', 'were', 'added', 'to', 'the', 'medium-agarose', 'mix', 'at', 'a', 'concentration', 'of', '5', 'Â', '10', '4', '(HT-29),', '3', 'Â', '10', '4', '(DLD1),', 'and', '7.5', 'Â', '10', '3', 'cells/mL', '(SW480),', 'and', 'seeded', 'at', '1.5', 'mL/well.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Plates', 'were', 'allowed', 'to', 'solidify', 'under', 'the', 'hood', 'and', 'then', 'placed', 'at', '378C', 'and', '5%', 'CO', '2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fresh', 'media', 'supplemented', 'with', '10%', 'FCS', 'were', 'added', 'on', 'the', 'surface', 'of', 'the', 'agarose', 'every', '1-2', 'd.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['After', '2-3', 'wk,', 'colonies', 'were', 'stained', 'by', 'adding', '500', 'mL', 'of', 'PBS', 'containing', '0.5', 'mg/mL', 'MTT', 'on', 'the', 'surface', 'of', 'the', 'agarose', 'and', 'incubated', 'for', '2', 'h', 'at', '378C', 'and', '5%', 'CO', '2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Images', 'were', 'acquired', 'using', 'an', 'AlphaImager', 'camera', '(Alpha', 'Innotech', 'Corporation)', 'and', 'colonies', 'counted', 'using', 'ImageJ', 'software.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O']"
"['Kip1', '(C-19,', 'Santa', 'Cruz)', 'and', 'anti-cathepsin', 'B.', 'Cathepsin', 'B', 'and', 'p27', 'Kip1', 'were', 'visualized', 'using', 'donkey', 'anti-goat', 'AlexaFluor', '594', 'and', 'chicken', 'anti-rabbit', 'AlexaFluor', '1', '488', '(Invitrogen),', 'respectively.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'double', 'immunofluorescence', 'experiments,', 'single', 'staining', 'of', 'each', 'protein', 'was', 'performed', 'to', 'ensure', 'nonoverlapping', 'fluorescence.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Images', 'were', 'acquired', 'on', 'a', 'Zeiss', 'Axio', 'Observer', 'LSM700', 'confocal', 'microscope', 'with', 'an', 'x63', 'oil-immersion', 'objective', '(N.A.', '1.4,', 'Carl', 'Zeiss', 'Canada).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Confocal', 'microscope', 'settings', 'were', 'adjusted', 'to', 'produce', 'the', 'optimum', 'signal/noise', 'ratio.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'sequential', 'mode', 'was', 'used', 'in', 'image', 'acquisition', 'to', 'avoid', 'any', 'interference', 'from', 'overlapping', 'fluorescence.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fluorescence', 'analysis', 'was', 'performed', 'using', 'Zen', 'Black', 'edition', 'software', '(Carl', 'Zeiss).']","['O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'I-Application_Mention', 'O', 'O', 'O']"
