tokens,labels
"['To', 'complement', 'with', 'related', 'research', 'in', 'RNA', 'subcellular', 'localization,', 'we', 'developed', 'a', 'web-accessible', 'database', '(RNALocate', 'aimed', 'to', 'collect', 'expanding', 'catalog', 'of', 'diverse', ""species'"", 'RNA', 'subcellular', 'localization', 'in', 'multiple', 'biological', 'processes', 'by', 'manually', 'curating', 'the', 'literature.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'first', 'release', 'of', 'RNALocate', 'has', 'contained', 'more', 'than', '37', '700', 'manually', 'curated', 'RNA', 'subcellular', 'localization', 'entries', 'with', 'experimental', 'evidence,', 'involving', '65', 'organisms', '(such', 'as', 'Homo', 'sapiens,', 'Musmusculus', 'and', 'Saccharomyces', 'cerevisiae),', '42', 'subcellular', 'localizations', '(such', 'as', 'Cytoplasm,', 'Nucleus,', 'Endoplasmic', 'reticulum,', 'Ribosome)', 'and', '9', 'RNA', 'categories', '(such', 'as', 'mRNA,', 'miRNA,', 'lncRNA).']","['O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hence,', 'RNALocate', 'provides', 'a', 'more', 'specific', 'subcellular', 'localization', 'resource', 'in', 'which', 'to', 'efficiently', 'investigate,', 'browse', 'and', 'analyze', 'a', 'particular', 'RNA,', 'and', 'even', 'provides', 'insight', 'into', 'the', 'functions', 'of', 'hypothetical', 'or', 'novel', 'RNAs.']","['O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'whole', 'data', 'set', 'can', 'be', 'easily', 'queried', 'and', 'downloaded', 'through', 'the', 'webpage,', 'and', 'visualization', 'tools', 'for', 'interactively', 'browsing', 'and', 'analyzing', 'the', 'data', 'set', 'are', 'provided.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'addition,RNALocate', 'also', 'allows', 'researchers', 'to', 'submit', 'new', 'RNA', 'subcellular', 'localization.']","['O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'order', 'to', 'collect', 'all', 'available', 'RNAs,', 'RNALocate', 'integrates', 'all', 'types', 'of', 'RNA', 'symbols,', 'mainly', 'including', 'microRNA', 'symbols', 'from', 'the', 'miRBase', 'database', '(5),', 'long', 'noncoding', 'RNA', '(lncRNA)', 'and', 'mRNA', 'symbols', 'from', 'NCBI', 'Gene', 'and', 'Ensemble', 'genome', 'database', '(6,7).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O']"
"['Other', 'ncRNA', 'category', 'names', 'are', 'also', 'included,', 'such', 'as', 'transfer', 'RNA', 'and', 'small', 'nuclear', 'RNA', 'from', 'NCBI', 'Gene', 'and', 'Ensemble', 'genome', 'database', '(6,7).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O']"
"['The', 'list', 'of', 'subcellular', 'localization', 'names', 'was', 'collected', 'according', 'to', 'the', 'Gene', 'Ontology', '(GO)', '(8).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'have', 'written', 'a', 'simple', 'script', 'to', 'screen', 'all', 'abstracts', 'and', 'articles', 'in', 'the', 'PubMed', 'database', 'using', 'the', 'following', 'keyword', 'combinations:', '(each', 'RNA', 'symbol', 'or', 'RNA', 'category', 'name)', 'and/or', '(each', 'subcellular', 'localization).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'relevant', 'hits', 'were', 'further', 'inspected', 'manually.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Besides,', 'we', 'also', 'retrieved', 'several', 'thousand', 'subcellular', 'localization', 'entries', 'from', 'lncRNAdb', '(9),', 'PomBase', '(10),', 'FlyBase', '(11),', 'TAIR', '(12)', 'and', 'DOT', '(13)', 'databases', 'Figure', '1).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'RNALocate', 'database', 'is', 'implemented', 'using', 'HTML', 'and', 'PHP', 'languages', 'with', 'MySQL', 'server']","['O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention']"
"['The', 'interface', 'component', 'consists', 'of', 'web', 'pages', 'designed', 'and', 'implemented', 'in', 'HTML/CSS.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'has', 'been', 'tested', 'in', 'the', 'Google', 'Chrome', 'Firefox', 'and', 'Internet', 'Explorer', 'web', 'browsers.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'I-Application_Mention', 'B-Application_Mention', 'O', 'B-Application_Mention', 'I-Application_Mention', 'O', 'O']"
"['RNA', 'subcellular', 'localization', 'information', 'was', 'manually', 'obtained', 'from', 'articles', 'published', 'in', 'the', 'PubMed', 'database', 'before', 'May', '2016.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'current', 'version,', 'RNALocate', 'documents', '37', '772', 'RNA', 'subcellular', 'localization', 'entries', 'with', 'experimental', 'evidence', 'from', '65', 'organisms,', 'involving', '42', 'subcellular', 'localizations', 'Figure', '2)', 'and', '9', 'RNA', 'categories', '(including', 'csRNA,', 'lncRNA,', 'mRNA,', 'miRNA,', 'piRNA,', 'snRNA,', 'rRNA,', 'snoRNA', 'and', 'tRNA)', '(Figure', '3).']","['O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Among', 'these,', 'more', 'than', '1400', 'entries', 'were', 'collected', 'from', 'lncRNAdb,', 'PomBase,', 'FlyBase,', 'TAIR', 'and', 'DOT', 'databases.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Each', 'subcellular', 'localization', 'entry', 'contains', 'detailed', 'information', 'on', 'RNA', 'symbol,', 'RNA', 'category,', 'alias,', 'organism,', 'sequence,', 'homology,', 'subcellular', 'localization,', 'tissue,', 'validation', 'method,', 'PubMed', 'ID,', 'detailed', 'description', 'and', 'network.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', ""'Submit'"", 'page,', 'RNALocate', 'invites', 'users', 'to', 'upload', 'novel', 'RNA', 'subcellular', 'localization', 'data,', 'and', 'in', ""'Blast'"", 'page,', 'sequence', 'alignment', 'can', 'be', 'done', 'after', 'parameter', 'selection.']","['O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Except', 'these,', 'the', 'whole', 'data', 'set', 'could', 'be', 'downloaded', 'through', 'two', 'approaches:', ""'Basic"", ""Download'"", 'and', ""'API'"", '(application', 'programming', 'interface).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', ""'Basic"", ""Download'"", 'page,', 'the', 'whole', 'data', 'are', 'saved', 'in', 'Microsoft', 'Excel', 'and', 'TXT', 'formats,', 'users', 'can', 'get', 'them', 'by', 'clicking', 'the', 'download', 'button.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', ""'API'"", 'page,', 'users', 'can', 'access', 'part', 'of', 'RNALocate', 'data', 'by', 'using', 'script.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O']"
"['RNALocate', 'also', 'provides', 'three', 'options', 'in', ""'Help'"", 'page', 'to', 'supply', 'instructions', 'for', 'using', 'it,', 'including', ""'Statistics'"", '(detailed', 'statistical', 'tables),', ""'Tutorial'"", '(procedure', 'and', 'illustrations', 'of', 'RNALocate', 'and', ""'Sister"", ""Databases'.""]","['B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O']"
"['RNALocate', 'provides', 'brief', 'details', 'of', 'search', 'results', 'as', 'a', 'table', 'in', 'the', ""'Search"", ""Result'"", 'page,', 'while', 'more', 'detailed', 'descriptions', 'such', 'as', 'PubMed', 'ID', 'and', 'description', 'of', 'the', 'reference', 'are', 'displayed', 'in', ""'Detail'"", 'page', 'reached', 'by', 'selecting', ""'more'.""]","['B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['When', 'selecting', 'the', 'specific', 'RNA', 'symbol', 'in', ""'Search"", ""Result'"", 'page,', 'the', ""'Detail'"", 'page', 'presents', 'more', 'associated', 'information', 'of', 'the', 'RNA,', 'such', 'as', 'organism,', 'subcellular', 'localization,', 'alias,', 'sequence,', 'homology', 'and', 'validated', 'method.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['More', 'than', '9200', 'RNAs', 'with', 'orthology/paralogy', 'from', 'miRBase', 'and', 'Homologene', 'database', 'have', 'been', 'provided', 'in', 'RNALocate', 'for', 'investigation', 'on', 'RNA', 'subcellular', 'localizations', 'conservation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['To', 'further', 'understand', 'the', 'interaction', 'information', 'between', 'different', 'RNAs', 'in', 'various', 'types', 'of', 'subcellular', 'localizations', 'online,', 'a', ""'Network'"", 'option', 'has', 'also', 'been', 'provided', 'to', 'visualize', 'RNA', 'interaction', 'network', 'with', 'subcellular', 'localization', 'and', 'organism', '(14,15).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
