tokens,labels
"['To', 'investigate', 'the', 'mechanism', 'through', 'which', 'PKM2', 'regulates', 'Bcl2,', 'a', 'co-immunoprecipitation', 'assay', 'was', 'performed', 'to', 'validate', 'their', 'interaction.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Immunoblotting', 'analyses', 'of', 'immunoprecipitated', 'Bcl2', 'with', 'an', 'anti-PKM2', 'antibody', '(Figure', '2A)', 'or', 'immunoprecipitated', 'PKM2', 'with', 'an', 'anti-Bcl2', 'antibody', '(Supplementary', 'information,', 'Figure', 'S2A)', 'showed', 'that', 'endogenous', 'PKM2', 'interacted', 'with', 'endogenous', 'Bcl2', 'reciprocally,', 'but', 'not', 'with', 'succi-that', 'stably', 'express', 'control', 'shRNA', '(shNT)', 'or', 'shRNA', 'against', 'PKM2', '(shPKM2)', 'were', 'treated', 'with', 'or', 'without', 'H', '2', 'O', '2', '(0.5', 'mM,', '24', 'h).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'cells', 'were', 'harvested', 'for', 'apoptosis', 'analysis', 'using', 'Annexin', 'V-Cy5', 'Apoptosis', 'Kit', '(A)', 'or', 'caspase', '3', 'activity', 'analysis', '(B).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Data', 'represent', 'the', 'means', '±', 'SD', 'of', 'three', 'independent', 'experiments.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['CON,', 'control.']","['O', 'O']"
"['(C)', 'U87', 'or', 'U251', 'cells', 'with', 'or', 'without', 'PKM2', 'depletion', 'were', 'treated', 'with', 'H', '2', 'O', '2', '(0.5', 'mM,', '24', 'h)', 'and', 'harvested', 'for', 'cytosolic', '(Cyto)', 'and', 'mitochondrial', '(Mito)', 'fractionation.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['(D)', 'U87', 'cells', 'were', 'treated', 'with', 'or', 'without', 'H', '2', 'O', '2', '(0.5', 'mM,', '1', 'h).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Immunofluorescence', 'analyses', 'were', 'performed', 'using', 'anti-PKM2', 'or', 'anti-VDAC', 'antibodies.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Representative', 'images', 'were', 'shown', 'in', 'left', 'panel.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Co-localization', 'of', 'two', 'proteins', 'in', '300', 'cells', 'was', 'quantified', 'using', 'the', 'software', 'of', 'Volocity', '(PerkinElmer,', 'right', '(Figure', '2B).']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Application_Mention', 'O', 'O', 'O', 'O']"
